iter	Passed	Remaining
0	16	16014
1	16	8280
2	17	5723
3	17	4435
4	18	3654
5	18	3132
6	19	2753
7	19	2466
8	20	2245
9	20	2063
10	21	1916
11	21	1794
12	22	1691
13	22	1602
14	23	1525
15	23	1458
16	24	1395
17	24	1342
18	25	1294
19	25	1252
20	26	1214
21	26	1178
22	26	1146
23	27	1117
24	27	1089
25	28	1064
26	28	1041
27	29	1022
28	30	1026
29	31	1012
30	31	994
31	32	978
32	32	964
33	33	950
34	34	939
35	34	926
36	35	916
37	35	904
38	36	892
39	36	883
40	37	868
41	37	858
42	38	847
43	38	838
44	39	829
45	39	820
46	40	812
47	40	804
48	41	796
49	41	785
50	41	777
51	42	769
52	42	762
53	43	759
54	43	751
55	44	746
56	44	742
57	45	738
58	46	734
59	46	727
60	46	721
61	47	716
62	47	712
63	48	708
64	49	704
65	49	700
66	50	696
67	50	693
68	51	688
69	51	682
70	51	679
71	52	675
72	52	672
73	53	669
74	54	666
75	54	663
76	54	657
77	55	653
78	55	650
79	56	648
80	57	648
81	57	648
82	58	646
83	59	647
84	59	644
85	60	642
86	61	640
87	61	637
88	61	634
89	66	673
90	67	676
91	69	683
92	70	685
93	73	710
94	75	715
95	76	716
96	77	717
97	77	716
98	78	717
99	79	717
100	80	720
101	81	718
102	82	718
103	83	718
104	84	718
105	85	717
106	86	723
107	88	727
108	88	727
109	90	730
110	91	736
111	92	735
112	93	731
113	93	728
114	94	725
115	94	720
116	95	717
117	95	714
118	96	711
119	96	708
120	97	706
121	97	703
122	98	700
123	98	698
124	99	697
125	100	697
126	101	695
127	101	693
128	102	692
129	103	690
130	103	689
131	104	685
132	104	684
133	105	682
134	106	682
135	107	680
136	107	679
137	108	677
138	109	676
139	109	674
140	110	672
141	111	671
142	111	670
143	112	668
144	113	667
145	114	666
146	114	665
147	115	663
148	115	661
149	116	659
150	116	657
151	117	655
152	118	653
153	118	651
154	119	648
155	119	645
156	119	642
157	120	641
158	121	640
159	121	637
160	122	635
161	122	634
162	122	631
163	123	629
164	123	627
165	124	625
166	125	624
167	125	621
168	126	619
169	126	617
170	127	615
171	127	613
172	128	612
173	128	609
174	128	607
175	129	605
176	129	604
177	130	602
178	130	599
179	131	598
180	131	596
181	132	594
182	132	592
183	133	591
184	133	589
185	134	587
186	134	585
187	135	584
188	135	583
189	136	581
190	136	579
191	137	577
192	137	575
193	138	574
194	138	572
195	139	570
196	139	569
197	139	567
198	140	565
199	140	563
200	141	562
201	142	561
202	142	559
203	143	558
204	143	556
205	144	555
206	144	553
207	145	552
208	145	550
209	146	549
210	146	547
211	147	546
