iter	Passed	Remaining
0	0	688
1	1	891
2	2	842
3	3	791
4	3	784
5	4	760
6	5	754
7	5	739
8	6	716
9	7	706
10	7	693
11	8	685
12	8	677
13	9	674
14	10	667
15	10	662
16	11	658
17	11	651
18	12	645
19	13	642
20	13	637
21	14	626
22	14	621
23	15	624
24	15	623
25	16	616
26	17	614
27	17	612
28	18	609
29	18	603
30	19	604
31	20	606
32	20	606
33	21	606
34	22	606
35	22	606
36	23	607
37	24	610
38	24	609
39	25	608
40	25	607
41	26	606
42	27	604
43	27	603
44	28	602
45	28	598
46	29	597
47	30	596
48	30	592
49	31	591
50	31	590
51	32	589
52	32	588
53	33	587
54	34	587
55	35	594
56	35	591
57	36	590
58	36	590
59	37	590
60	38	591
61	39	590
62	39	589
63	40	589
64	40	587
65	41	587
66	42	586
67	42	584
68	43	583
69	43	582
70	44	582
71	45	580
72	45	580
73	46	579
74	46	577
75	47	576
76	48	575
77	48	574
78	49	573
79	49	574
80	50	574
81	51	574
82	51	574
83	52	573
84	53	572
85	53	571
86	54	570
87	55	570
88	55	569
89	56	569
90	56	568
91	57	567
92	58	567
93	58	566
94	59	566
95	60	565
96	60	564
97	61	563
98	61	562
99	62	561
100	63	561
101	63	560
102	64	560
103	65	561
104	65	560
105	66	559
106	66	558
107	67	556
108	68	556
109	68	556
110	69	554
111	69	554
112	70	553
113	70	551
114	71	550
115	72	549
116	72	549
117	73	548
118	74	548
119	74	547
120	75	546
121	75	545
122	76	544
123	76	543
124	77	543
125	78	542
126	78	541
127	79	542
128	80	542
129	81	542
130	81	541
131	82	541
132	83	541
133	83	540
134	84	540
135	85	540
136	85	539
137	86	539
138	86	537
139	87	537
140	88	537
141	88	536
142	89	534
143	89	533
144	90	533
145	90	532
146	91	530
147	92	530
148	92	529
149	93	528
150	93	528
151	94	529
152	95	529
153	96	528
154	96	528
155	97	527
156	98	527
157	98	526
158	99	525
159	99	524
160	100	523
161	101	522
162	101	521
163	102	521
164	102	519
165	103	518
166	103	517
167	104	516
168	104	515
169	105	514
170	106	513
171	106	513
172	107	512
173	107	511
174	108	510
175	108	509
176	109	510
177	110	509
178	110	509
179	111	508
180	111	506
181	112	506
182	113	505
183	113	504
184	114	503
185	114	503
186	115	502
187	116	502
188	116	501
189	117	500
190	118	500
191	118	499
192	119	498
193	119	497
194	120	497
195	120	496
196	121	495
197	122	494
198	122	493
199	123	492
200	123	492
201	124	491
202	125	490
203	125	490
204	126	489
205	127	489
206	127	489
207	128	488
208	128	488
209	129	487
210	130	486
211	130	485
212	131	484
213	131	483
214	132	482
215	132	482
216	133	481
217	134	480
218	134	479
219	135	479
220	135	478
221	136	477
222	136	477
223	137	476
224	138	475
225	138	474
226	139	474
227	140	474
228	140	474
229	141	473
230	142	473
231	142	472
232	143	471
233	143	470
234	144	470
235	145	469
236	145	468
237	146	467
238	146	467
239	147	466
240	147	465
241	148	465
242	149	464
243	149	463
244	150	462
245	150	461
246	151	461
247	151	460
248	152	459
249	153	459
250	153	459
251	154	458
252	155	458
253	155	457
254	156	457
255	157	456
256	157	456
257	158	455
258	158	454
259	159	454
260	160	453
261	160	452
262	161	451
263	161	450
264	162	450
265	162	449
266	163	448
267	164	448
268	164	447
269	165	447
270	165	446
271	166	445
272	167	445
273	167	444
274	168	444
275	169	444
276	169	443
277	170	443
278	171	442
279	171	442
280	172	441
281	173	440
282	173	440
283	174	439
284	175	439
285	175	438
286	176	438
287	176	437
288	177	436
289	178	436
290	178	435
291	179	434
292	179	433
293	180	433
294	181	432
295	181	431
296	182	431
297	183	431
298	183	431
299	184	430
300	185	430
301	185	429
302	186	429
303	187	428
304	187	427
305	188	427
306	188	426
307	189	425
308	190	425
309	190	424
310	191	423
311	191	422
312	192	422
313	192	421
314	193	420
315	193	419
316	194	418
317	195	418
318	195	417
319	196	416
320	196	416
321	197	415
322	198	415
323	198	414
324	199	414
325	200	413
326	200	413
327	201	412
328	201	411
329	202	411
330	203	410
331	203	410
332	204	409
333	205	408
334	205	408
335	206	407
336	206	406
337	207	406
338	207	405
339	208	404
340	209	404
341	209	403
342	210	402
343	210	402
344	211	401
345	212	400
346	212	400
347	213	399
348	214	399
349	214	398
350	215	398
351	216	397
352	216	397
353	217	396
354	217	396
355	220	398
356	220	397
357	221	397
358	222	397
359	223	396
360	224	396
361	224	396
362	225	395
363	226	395
364	226	394
365	227	394
366	228	393
367	228	392
368	229	392
369	230	391
370	230	391
371	231	390
372	231	389
373	232	389
374	233	388
375	233	387
376	234	387
377	234	386
378	235	386
379	236	385
380	236	384
381	237	383
382	237	383
383	238	382
384	239	381
385	239	381
386	240	380
387	240	379
388	241	379
389	242	378
390	242	377
391	243	377
392	244	377
393	244	376
394	245	375
395	245	375
396	246	374
397	247	373
398	247	373
399	248	372
400	248	371
401	249	371
402	250	370
403	250	369
404	251	369
405	251	368
406	252	367
407	252	366
408	253	366
409	254	365
410	254	364
411	255	364
412	255	363
413	256	363
414	257	362
415	257	361
416	258	360
417	258	360
418	259	359
419	260	359
420	260	358
421	261	357
422	261	357
423	262	356
424	262	355
425	263	355
426	264	354
427	264	353
428	264	352
429	265	351
430	265	351
431	266	350
432	267	349
433	267	349
434	268	348
435	268	347
436	269	347
437	269	346
438	270	345
439	271	345
440	271	344
441	272	343
442	272	343
443	273	342
444	274	342
445	274	341
446	275	340
447	276	340
448	276	339
449	277	339
450	278	338
451	278	337
452	279	337
453	279	336
454	280	335
455	280	334
456	281	334
457	282	333
458	282	333
459	283	332
460	283	331
461	284	331
462	285	330
463	285	330
464	286	329
465	286	328
466	287	328
467	287	327
468	288	326
469	289	326
470	289	325
471	290	325
472	291	324
473	292	324
474	292	323
475	293	323
476	294	322
477	294	321
478	295	321
479	296	320
480	297	320
481	297	320
482	298	319
483	298	318
484	299	318
485	300	317
486	300	316
487	301	316
488	301	315
489	302	314
490	302	314
491	303	313
492	304	312
493	304	312
494	305	311
495	306	311
496	306	310
497	307	309
498	308	309
499	308	308
500	309	307
501	309	307
502	310	306
503	310	305
504	311	305
505	311	304
506	312	303
507	313	303
508	313	302
509	314	301
510	314	301
511	315	300
512	315	299
513	316	299
514	316	298
515	317	297
516	317	297
517	318	296
518	319	295
519	319	295
520	320	294
521	321	294
522	321	293
523	322	292
524	322	292
525	323	291
526	324	290
527	324	290
528	325	289
529	325	288
530	326	288
531	326	287
532	327	286
533	327	286
534	328	285
535	328	284
536	329	284
537	330	283
538	330	282
539	331	282
540	331	281
541	332	280
542	333	280
543	333	279
544	334	279
545	335	278
546	335	278
547	336	277
548	337	277
549	337	276
550	338	275
551	339	275
552	339	274
553	340	274
554	341	273
555	341	272
556	342	272
557	343	271
558	343	271
559	344	270
560	344	269
561	345	269
562	345	268
563	346	267
564	346	267
565	347	266
566	348	265
567	348	265
568	349	264
569	349	263
570	350	263
571	351	262
572	352	262
573	352	261
574	353	261
575	353	260
576	354	259
577	354	259
578	355	258
579	356	257
580	356	257
581	357	256
582	357	255
583	358	255
584	358	254
585	359	253
586	359	253
587	360	252
588	360	251
589	361	251
590	362	250
591	362	249
592	363	249
593	364	248
594	365	248
595	366	248
596	366	247
597	367	246
598	367	246
599	368	245
600	368	244
601	369	244
602	369	243
603	370	242
604	370	242
605	371	241
606	372	240
607	372	240
608	373	239
609	373	238
610	374	238
611	374	237
612	375	236
613	375	236
614	376	235
615	376	234
616	377	234
617	377	233
618	378	232
619	379	232
620	379	231
621	380	231
622	380	230
623	381	229
624	381	229
625	382	228
626	382	227
627	383	227
628	384	226
629	384	225
630	385	225
631	385	224
632	386	223
633	386	223
634	387	222
635	387	221
636	388	221
637	388	220
638	389	219
639	389	219
640	390	218
641	390	217
642	391	217
643	391	216
644	392	215
645	392	215
646	393	214
647	394	214
648	395	213
649	395	213
650	396	212
651	396	211
652	397	211
653	397	210
654	398	209
655	399	209
656	399	208
657	400	208
658	400	207
659	401	206
660	402	206
661	402	205
662	403	204
663	403	204
664	404	203
665	404	203
666	405	202
667	405	201
668	406	201
669	406	200
670	407	199
671	407	199
672	408	198
673	409	197
674	409	197
675	410	196
676	410	196
677	411	195
678	412	194
679	412	194
680	413	193
681	413	192
682	414	192
683	414	191
684	415	191
685	416	190
686	416	189
687	417	189
688	417	188
689	418	187
690	418	187
691	419	186
692	419	186
693	420	185
694	421	184
695	421	184
696	422	183
697	422	182
698	423	182
699	437	187
700	438	187
701	439	186
702	440	186
703	442	185
704	443	185
705	444	185
706	445	184
707	446	184
708	447	183
709	448	183
710	449	182
711	450	182
